household_key,recency,frequency,monetary,avg_basket_value,total_quantity,avg_quantity,total_discount,discount_rate,unique_products,shopping_days,spend_per_day,coupon_redemptions,coupon_rate,classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC,campaigns_received,campaign_types,coupon_redeemer,campaign_rate,coupon_per_campaign,unique_departments,unique_categories,unique_brands,category_diversity
1,5,86,4330.16,50.350697674418605,1997,23.22093023255814,697.04,0.16097326657675468,677,79,54.81215189873418,5.0,0.05813953488372093,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,43,45,1954.34,43.42977777777777,834,18.533333333333335,334.99,0.1714082503556188,546,45,43.42977777777777,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,3.0,0,0.17777777777777778,0.0,13.0,128.0,2.0,2.8444444444444446
3,8,47,2653.21,56.45127659574468,8540,181.70212765957447,675.16,0.2544691147704102,516,46,57.67847826086957,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,0,0.02127659574468085,0.0,12.0,141.0,2.0,3.0
4,84,30,1200.1100000000001,40.00366666666667,382,12.733333333333333,115.65,0.09636616643474348,164,30,40.00366666666667,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.0,2.0,0,0.1,0.0,12.0,110.0,2.0,3.6666666666666665
5,8,40,779.0600000000001,19.4765,245,6.125,118.33,0.15188817292634713,199,33,23.60787878787879,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,0,0.025,0.0,9.0,63.0,2.0,1.575
6,4,250,5996.16,23.98464,94690,378.76,828.34,0.13814507951755792,811,221,27.131945701357466,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,9.0,76.0,2.0,0.304
7,2,59,3400.05,57.627966101694916,1554,26.338983050847457,482.51,0.14191261893207452,829,59,57.627966101694916,0.0,0.0,Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,4.0,2.0,0,0.06779661016949153,0.0,18.0,154.0,2.0,2.610169491525424
8,5,113,5534.97,48.98203539823009,68333,604.7168141592921,1078.3,0.19481587072739326,1288,103,53.73757281553398,1.0,0.008849557522123894,Age Group2,Y,Level3,Unknown,Group4,3,1,4.0,2.0,1,0.035398230088495575,0.25,13.0,157.0,2.0,1.3893805309734513
9,22,20,797.42,39.870999999999995,353,17.65,181.1,0.22710742143412505,185,20,39.870999999999995,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,2.0,0,0.5,0.0,20.0,180.0,2.0,9.0
10,26,9,234.34,26.037777777777777,108,12.0,24.84,0.1059998293078433,65,5,46.868,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,8.0,72.0,2.0,8.0
11,299,5,33.39,6.678,20,4.0,10.98,0.3288409703504043,17,5,6.678,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,9.0,40.0,2.0,8.0
12,207,7,266.21,38.029999999999994,103,14.714285714285714,32.7,0.12283535554637319,75,7,38.029999999999994,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,6.0,14.0,2.0,2.0
13,2,275,13190.92,47.96698181818182,1863829,6777.56,1627.19,0.12335682423970429,1008,203,64.97990147783251,21.0,0.07636363636363637,Age Group2,Y,Level6,Homeowner,Group4,4,2,0.0,0.0,1,0.0,0.0,7.0,48.0,2.0,0.17454545454545456
14,7,140,2761.19,19.722785714285713,118320,845.1428571428571,589.98,0.21366874427330246,574,98,28.175408163265306,3.0,0.02142857142857143,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,3.0,1,0.07142857142857142,0.3,16.0,162.0,2.0,1.1571428571428573
15,6,55,972.53,17.682363636363636,465,8.454545454545455,158.59,0.163069519706333,235,48,20.261041666666667,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,0,0.09090909090909091,0.0,12.0,115.0,2.0,2.090909090909091
16,21,98,1512.02,15.428775510204082,81200,828.5714285714286,171.29,0.11328553855107737,282,90,16.80022222222222,0.0,0.0,Age Group4,Z,Level5,Homeowner,Group3,1,None/Unknown,0.0,0.0,0,0.0,0.0,14.0,91.0,2.0,0.9285714285714286
17,22,124,5139.63,41.44862903225807,295951,2386.701612903226,1109.56,0.2158832445137101,444,101,50.88742574257426,0.0,0.0,Age Group6,Z,Level1,Homeowner,Group5,2,None/Unknown,2.0,2.0,0,0.016129032258064516,0.0,10.0,109.0,2.0,0.8790322580645161
18,0,163,7118.91,43.67429447852761,260924,1600.760736196319,948.66,0.13325916467549104,691,132,53.93113636363636,8.0,0.049079754601226995,Age Group4,X,Level7,Homeowner,Group5,2,None/Unknown,5.0,1.0,1,0.03067484662576687,1.6,12.0,122.0,2.0,0.7484662576687117
19,0,421,11299.61,26.83992874109264,529311,1257.270783847981,3044.85,0.2694650523336646,1786,296,38.17435810810811,1.0,0.0023752969121140144,Age Group3,Z,Level2,Unknown,Group3,1,None/Unknown,4.0,2.0,1,0.009501187648456057,0.25,14.0,144.0,2.0,0.342042755344418
20,0,387,7486.11,19.343953488372094,477186,1233.0387596899225,813.92,0.10872402355829663,477,298,25.121174496644294,0.0,0.0,Age Group2,X,Level6,Renter,Group5,2,None/Unknown,9.0,3.0,0,0.023255813953488372,0.0,20.0,177.0,2.0,0.4573643410852713
21,29,27,870.11,32.2262962962963,38801,1437.0740740740741,165.66,0.1903897208398938,228,23,37.83086956521739,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,2.0,0,0.25925925925925924,0.0,14.0,116.0,2.0,4.296296296296297
